"provincia","id","localidad","partido","municipio","cp","latitud","longitud","id_prov_mstr"
"Ciudad Autonoma de Buenos Aires","5001","Capital Federal","CAPITAL FEDERAL","CIUDAD AUTONOMA DE BUENOS AIRES","1000","","","02"
"Ciudad Autonoma de Buenos Aires","5001","Capital Federal","CAPITAL FEDERAL","CIUDAD AUTONOMA DE BUENOS AIRES","1001","","","02"
"Ciudad Autonoma de Buenos Aires","5001","Capital Federal","CAPITAL FEDERAL","CIUDAD AUTONOMA DE BUENOS AIRES","1002","","","02"
"Ciudad Autonoma de Buenos Aires","5001","Capital Federal","CAPITAL FEDERAL","CIUDAD AUTONOMA DE BUENOS AIRES","1003","","","02"
"Ciudad Autonoma de Buenos Aires","5001","Capital Federal","CAPITAL FEDERAL","CIUDAD AUTONOMA DE BUENOS AIRES","1004","","","02"
"Ciudad Autonoma de Buenos Aires","5001","Capital Federal","CAPITAL FEDERAL","CIUDAD AUTONOMA DE BUENOS AIRES","1005","","","02"
"Ciudad Autonoma de Buenos Aires","5001","Capital Federal","CAPITAL FEDERAL","CIUDAD AUTONOMA DE BUENOS AIRES","1006","","","02"
"Ciudad Autonoma de Buenos Aires","5001","Capital Federal","CAPITAL FEDERAL","CIUDAD AUTONOMA DE BUENOS AIRES","1007","","","02"
"Ciudad Autonoma de Buenos Aires","5001","Capital Federal","CAPITAL FEDERAL","CIUDAD AUTONOMA DE BUENOS AIRES","1008","","","02"
"Ciudad Autonoma de Buenos Aires","5001","Capital Federal","CAPITAL FEDERAL","CIUDAD AUTONOMA DE BUENOS AIRES","1009","","","02"
"Ciudad Autonoma de Buenos Aires","5001","Capital Federal","CAPITAL FEDERAL","CIUDAD AUTONOMA DE BUENOS AIRES","1010","","","02"
"Ciudad Autonoma de Buenos Aires","5001","Capital Federal","CAPITAL FEDERAL","CIUDAD AUTONOMA DE BUENOS AIRES","1011","","","02"
"Ciudad Autonoma de Buenos Aires","5001","Capital Federal","CAPITAL FEDERAL","CIUDAD AUTONOMA DE BUENOS AIRES","1012","","","02"
"Ciudad Autonoma de Buenos Aires","5001","Capital Federal","CAPITAL FEDERAL","CIUDAD AUTONOMA DE BUENOS AIRES","1013","","","02"
"Ciudad Autonoma de Buenos Aires","5001","Capital Federal","CAPITAL FEDERAL","CIUDAD AUTONOMA DE BUENOS AIRES","1014","","","02"
"Ciudad Autonoma de Buenos Aires","5001","Capital Federal","CAPITAL FEDERAL","CIUDAD AUTONOMA DE BUENOS AIRES","1015","","","02"
"Ciudad Autonoma de Buenos Aires","5001","Capital Federal","CAPITAL FEDERAL","CIUDAD AUTONOMA DE BUENOS AIRES","1016","","","02"
"Ciudad Autonoma de Buenos Aires","5001","Capital Federal","CAPITAL FEDERAL","CIUDAD AUTONOMA DE BUENOS AIRES","1017","","","02"
"Ciudad Autonoma de Buenos Aires","5001","Capital Federal","CAPITAL FEDERAL","CIUDAD AUTONOMA DE BUENOS AIRES","1018","","","02"
"Ciudad Autonoma de Buenos Aires","5001","Capital Federal","CAPITAL FEDERAL","CIUDAD AUTONOMA DE BUENOS AIRES","1019","","","02"
"Ciudad Autonoma de Buenos Aires","5001","Capital Federal","CAPITAL FEDERAL","CIUDAD AUTONOMA DE BUENOS AIRES","1020","","","02"
"Ciudad Autonoma de Buenos Aires","5001","Capital Federal","CAPITAL FEDERAL","CIUDAD AUTONOMA DE BUENOS AIRES","1021","","","02"
"Ciudad Autonoma de Buenos Aires","5001","Capital Federal","CAPITAL FEDERAL","CIUDAD AUTONOMA DE BUENOS AIRES","1022","","","02"
"Ciudad Autonoma de Buenos Aires","5001","Capital Federal","CAPITAL FEDERAL","CIUDAD AUTONOMA DE BUENOS AIRES","1023","","","02"
"Ciudad Autonoma de Buenos Aires","5001","Capital Federal","CAPITAL FEDERAL","CIUDAD AUTONOMA DE BUENOS AIRES","1024","","","02"
"Ciudad Autonoma de Buenos Aires","5001","Capital Federal","CAPITAL FEDERAL","CIUDAD AUTONOMA DE BUENOS AIRES","1025","","","02"
"Ciudad Autonoma de Buenos Aires","5001","Capital Federal","CAPITAL FEDERAL","CIUDAD AUTONOMA DE BUENOS AIRES","1026","","","02"
"Ciudad Autonoma de Buenos Aires","5001","Capital Federal","CAPITAL FEDERAL","CIUDAD AUTONOMA DE BUENOS AIRES","1027","","","02"
"Ciudad Autonoma de Buenos Aires","5001","Capital Federal","CAPITAL FEDERAL","CIUDAD AUTONOMA DE BUENOS AIRES","1028","","","02"
"Ciudad Autonoma de Buenos Aires","5001","Capital Federal","CAPITAL FEDERAL","CIUDAD AUTONOMA DE BUENOS AIRES","1029","","","02"
"Ciudad Autonoma de Buenos Aires","5001","Capital Federal","CAPITAL FEDERAL","CIUDAD AUTONOMA DE BUENOS AIRES","1030","","","02"
"Ciudad Autonoma de Buenos Aires","5001","Capital Federal","CAPITAL FEDERAL","CIUDAD AUTONOMA DE BUENOS AIRES","1031","","","02"
"Ciudad Autonoma de Buenos Aires","5001","Capital Federal","CAPITAL FEDERAL","CIUDAD AUTONOMA DE BUENOS AIRES","1032","","","02"
"Ciudad Autonoma de Buenos Aires","5001","Capital Federal","CAPITAL FEDERAL","CIUDAD AUTONOMA DE BUENOS AIRES","1033","","","02"
"Ciudad Autonoma de Buenos Aires","5001","Capital Federal","CAPITAL FEDERAL","CIUDAD AUTONOMA DE BUENOS AIRES","1034","","","02"
"Ciudad Autonoma de Buenos Aires","5001","Capital Federal","CAPITAL FEDERAL","CIUDAD AUTONOMA DE BUENOS AIRES","1035","","","02"
"Ciudad Autonoma de Buenos Aires","5001","Capital Federal","CAPITAL FEDERAL","CIUDAD AUTONOMA DE BUENOS AIRES","1036","","","02"
